OBJECTID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,PCSA,PCSA_SCORE,PC_PHYS,PC_PHYS_R_CIV,POVScore,PHYSRatioScore,Shape__Area,Shape__Length
441,15,037,Los Angeles,78.2eee,Downey Northeast,Urban,8555.79519006,0.28257907,23438,0,2,135,609.17037037,2,0,0.00242332571383486,0.250608989937927
442,24,037,Los Angeles,78.2eeee,Alhambra/El Sereno South/San Gabriel Central,Urban,10545.46771562,0.74951471,70360,0,3,117,934.95726496,3,0,0.00264086733182012,0.329776377753151
443,26,037,Los Angeles,78.2f,Hollywood Hills/Hollywood West/Mount Olympus/West Hollywood,Urban,10278.7773092,0.26461111,82909,0,3,277,336.41155235,3,0,0.00230321543335776,0.267711809829114
444,26,037,Los Angeles,78.2ff,Glassell Park/Glendale Southeast/Silverlake North,Urban,9563.61804623,0.55547584,57365,1,5,92,1047.95652174,4,1,0.00251449827669603,0.397873480693294
445,29,037,Los Angeles,78.2fff,Firestone/Florence South/Watts,Urban,18988.52938406,0.18309431,24681,1,9,53,2517.69811321,5,4,0.00176139760060323,0.242387361844672
446,32,037,Los Angeles,78.2ffff,Boyle Heights Northwest/Chinatown/Downtown Northwest/Little Tokyo/Westlake,Urban,16209.12804158,0.33727432,44315,1,5,917,105.88985823,5,0,0.00163467367906378,0.33229999899518
447,33,037,Los Angeles,78.2g,Hollywood South Central/Inner Sunset,Urban,22439.54132515,0.13156428,52412,1,5,757,150.94319683,5,0,0.00130004192965316,0.20846008839677
448,24,037,Los Angeles,78.2gg,Angeles National Forest West/Kagel Canyon/Lake View Terrace/San Fernando East/Sylmar,Urban,712.53010054,1.24657255,26195,0,3,135,758.74074074,3,0,0.0355811986287335,1.57314643424382
449,30,037,Los Angeles,78.2ggg,South Central Northeast,Urban,17918.50502816,0.13024249,35521,1,8,53,2478.47169811,5,3,0.00182847463179314,0.288720206212793
450,23,037,Los Angeles,78.2gggg,Altadena East/Angeles National Forest East/Azusa North/Duarte North/Glendora/Pasadena East,Rural,185.83925839,0.81584719,69779,0,3,52,1712.75,1,2,0.125681283434005,2.59407216271234
451,25,037,Los Angeles,78.2h,Boyle Heights Central/City Terrace West,Urban,16740.10092659,0.35134342,3865,1,10,29,3256.03448276,5,5,0.00141678553131896,0.210146946014223
452,23,037,Los Angeles,78.2hh,Granada Hills/Mission Hills/Porter Ranch,Urban,3633.02008809,0.43841521,65668,0,1,150,587.24666667,1,0,0.00604824209540311,0.403169720774286
453,21,037,Los Angeles,78.2hhh,Altadena West/Pasadena Northwest,Urban,7549.25205308,0.94728537,51895,0,4,73,1282.64383562,3,1,0.0031599173912582,0.454110251715739
454,20,037,Los Angeles,78.2hhhh,Canoga Park Northeast/Winnetka,Urban,13131.85024423,0.23931193,36777,1,9,29,3395.68965517,4,5,0.00185513089900269,0.329778755535616
455,34,037,Los Angeles,78.2i,El Sereno North/Highland Park/Montecito Heights/Monterey Hills,Urban,12132.26458004,0.33697908,29797,1,8,53,2276.64150943,5,3,0.00254457554001419,0.364269935373374
456,23,037,Los Angeles,78.2ii,Reseda South/Van Nuys Southwest,Urban,7229.76943115,0.44480187,66383,1,7,32,3041.5,2,5,0.00328466105770531,0.431117069987865
457,19,037,Los Angeles,78.2iii,North Long Beach,Urban,12409.24077634,0.22067074,41782,1,9,18,5157.27777778,4,5,0.00186461855287234,0.219795319184705
